"catégorie du classeur";"dépôt initial";"type détecté";"nom du skill ou plugin";"déjà installé";"version installée";"version disponible";"dépôt officiel";"alternative recommandée";"dernière activité";"licence";"compatibilité Codex";"compatibilité Windows";"niveau de risque";"décision";"justification";"commande d’installation";"commande de désinstallation ou retour arrière"
"Éducation";"instructure/canvas-lms";"APPLICATION";"LMS Canvas open source";"non détecté";"—";"commit 1c9f0bb8013e";"https://github.com/instructure/canvas-lms";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-04-30";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"chamilo/chamilo-lms";"APPLICATION";"LMS simple et francophone";"non détecté";"—";"commit ed45e1f47ece";"https://github.com/chamilo/chamilo-lms";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"sakaiproject/sakai";"APPLICATION";"Plateforme pédagogique collaborative";"non détecté";"—";"commit 8690acb1fc07";"https://github.com/sakaiproject/sakai";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"h5p/h5p-php-library";"BIBLIOTHEQUE";"Activités interactives H5P";"non détecté";"—";"commit b515e00da7a0";"https://github.com/h5p/h5p-php-library";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"LumiEducation/Lumi";"APPLICATION";"Création de contenus H5P";"non détecté";"—";"commit 236912f8e3c0";"https://github.com/Lumieducation/Lumi";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-05-07";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"jupyter/notebook";"BIBLIOTHEQUE";"Cahiers Python interactifs";"non détecté";"—";"commit 113a7b062fc6";"https://github.com/jupyter/notebook";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"jupyterlab/jupyterlab";"BIBLIOTHEQUE";"Environnement scientifique web";"non détecté";"—";"commit b98d7ff6932a";"https://github.com/jupyterlab/jupyterlab";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"jupyter/nbgrader";"BIBLIOTHEQUE";"Correction de notebooks";"non détecté";"—";"commit 207a8e544968";"https://github.com/jupyter/nbgrader";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-06-16";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"jupyterhub/jupyterhub";"BIBLIOTHEQUE";"Jupyter multi-utilisateurs";"non détecté";"—";"commit d8735c479657";"https://github.com/jupyterhub/jupyterhub";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"jupyterhub/binderhub";"BIBLIOTHEQUE";"Exécuter des dépôts en ligne";"non détecté";"—";"commit 1013493a4eaf";"https://github.com/jupyterhub/binderhub";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-01";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"TheAlgorithms/Python";"DOCUMENTATION";"Algorithmes expliqués en Python";"non détecté";"—";"commit c0db072a1323";"https://github.com/TheAlgorithms/Python";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-06";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"A — faible risque";"CONSERVER_COMME_REFERENCE";"Catalogue ou collection de référence; aucune structure installable unique.";"";""
"Éducation";"freeCodeCamp/freeCodeCamp";"APPLICATION";"Plateforme d’apprentissage du code";"non détecté";"—";"commit 76e377237551";"https://github.com/freeCodeCamp/freeCodeCamp";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"exercism/exercism";"ABANDONNE";"Exercices de programmation";"non détecté";"—";"commit 39ec70db5085";"https://github.com/exercism/exercism";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2024-03-01";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"Éducation";"codecombat/codecombat";"APPLICATION";"Jeu d’apprentissage du code";"non détecté";"—";"commit 42a99fbf5958";"https://github.com/codecombat/codecombat";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"scratchfoundation/scratch-gui";"ABANDONNE";"Interface Scratch";"non détecté";"—";"commit dae2a97a5bb0";"https://github.com/scratchfoundation/scratch-gui";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-05-29";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"";""
"Éducation";"jmoenig/Snap";"APPLICATION";"Programmation visuelle Snap!";"non détecté";"—";"commit 3a2fe919a35a";"https://github.com/jmoenig/Snap";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-06-08";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"google/blockly";"BIBLIOTHEQUE";"Bibliothèque de programmation par blocs";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/RaspberryPiFoundation/blockly";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"microbit-foundation/microbit-python-editor-v3";"APPLICATION";"Éditeur Python micro:bit";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/microbit-foundation/microbit-python-editor-v3";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"microsoft/pxt";"BIBLIOTHEQUE";"Microsoft MakeCode";"non détecté";"—";"commit 9dc539ea6508";"https://github.com/microsoft/pxt";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"mit-cml/appinventor-sources";"APPLICATION";"Création d’applications mobiles";"non détecté";"—";"commit 790c9c6840c2";"https://github.com/mit-cml/appinventor-sources";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"learningequality/kolibri";"APPLICATION";"Plateforme éducative hors ligne";"non détecté";"—";"commit a7d22284350a";"https://github.com/learningequality/kolibri";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"oppia/oppia";"APPLICATION";"Leçons interactives adaptatives";"non détecté";"—";"commit 9e300be4ee57";"https://github.com/oppia/oppia";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"moodlebox/moodlebox";"APPLICATION";"Serveur Moodle portable";"non détecté";"—";"commit d85a3f76b274";"https://github.com/moodlebox/moodlebox";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-05-30";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"bigbluebutton/bigbluebutton";"APPLICATION";"Classe virtuelle open source";"non détecté";"—";"commit cc5441b7388b";"https://github.com/bigbluebutton/bigbluebutton";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"jitsi/jitsi-meet";"APPLICATION";"Visioconférence open source";"non détecté";"—";"commit d0afbf4ef43c";"https://github.com/jitsi/jitsi-meet";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"hedgedoc/hedgedoc";"APPLICATION";"Édition Markdown collaborative";"non détecté";"—";"commit be67b09a9e70";"https://github.com/hedgedoc/hedgedoc";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"BookStackApp/BookStack";"APPLICATION";"Wiki structuré simple";"non détecté";"—";"commit 6107161275b3";"https://github.com/BookStackApp/BookStack";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-02";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"requarks/wiki";"APPLICATION";"Wiki.js";"non détecté";"—";"commit 6f042e97cc2d";"https://github.com/requarks/wiki";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-05-01";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"facebook/docusaurus";"BIBLIOTHEQUE";"Sites de documentation";"non détecté";"—";"commit 80319585a49a";"https://github.com/facebook/docusaurus";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-10";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"mkdocs/mkdocs";"BIBLIOTHEQUE";"Documentation statique en Markdown";"non détecté";"—";"commit 2862536793b3";"https://github.com/mkdocs/mkdocs";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2025-10-20";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"quarto-dev/quarto-cli";"BIBLIOTHEQUE";"Documents scientifiques multimédias";"non détecté";"—";"commit c284199a5295";"https://github.com/quarto-dev/quarto-cli";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"ManimCommunity/manim";"BIBLIOTHEQUE";"Animations mathématiques";"non détecté";"—";"commit 7bef6c0e4ca1";"https://github.com/ManimCommunity/manim";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"sagemath/sage";"BIBLIOTHEQUE";"Mathématiques libres";"non détecté";"—";"commit 80e56eaeb708";"https://github.com/sagemath/sage";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-05";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"sympy/sympy";"BIBLIOTHEQUE";"Calcul symbolique Python";"non détecté";"—";"commit 52eedf2f81ca";"https://github.com/sympy/sympy";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"scilab/scilab";"ABANDONNE";"Calcul scientifique";"non détecté";"—";"commit 81a9cc049332";"https://github.com/scilab/scilab";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2021-07-15";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"";""
"Éducation";"gnu-octave/octave";"APPLICATION";"Calcul numérique compatible MATLAB";"non détecté";"—";"commit 12394de064d6";"https://github.com/gnu-octave/octave";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-10";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"phetsims";"NON_PERTINENT";"Simulations scientifiques PhET";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/phetsims";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_NON_DEPOT";"La ligne pointe vers une organisation GitHub, pas vers un dépôt installable.";"";""
"Éducation";"CircuitVerse/CircuitVerse";"BIBLIOTHEQUE";"Simulation de logique numérique";"non détecté";"—";"commit 27dbdf72b229";"https://github.com/CircuitVerse/CircuitVerse";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"logisim-evolution/logisim-evolution";"APPLICATION";"Simulation de circuits logiques";"non détecté";"—";"commit 712352f8027b";"https://github.com/logisim-evolution/logisim-evolution";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"gcompris/GCompris-qt";"APPLICATION";"Suite éducative libre";"non détecté";"—";"commit f02485a1e7e8";"https://github.com/gcompris/GCompris-qt";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-13";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"sugarlabs/sugar";"APPLICATION";"Environnement éducatif";"non détecté";"—";"commit c34bc0ddb33b";"https://github.com/sugarlabs/sugar";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-03-17";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"moodlehq/moodle-docker";"APPLICATION";"Déploiement Moodle avec Docker";"non détecté";"—";"commit 81a20665c2d2";"https://github.com/moodlehq/moodle-docker";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2025-12-17";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"OpenBoard-org/OpenBoard";"APPLICATION";"Tableau numérique interactif";"non détecté";"—";"commit 30d120cec100";"https://github.com/OpenBoard-org/OpenBoard";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-03-30";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"ankitects/anki";"APPLICATION";"Cartes mémoire espacées";"non détecté";"—";"commit fb83be128560";"https://github.com/ankitects/anki";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"xournalpp/xournalpp";"APPLICATION";"Prise de notes et annotation PDF";"non détecté";"—";"commit 4f5b4ac03933";"https://github.com/xournalpp/xournalpp";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"zotero/zotero";"APPLICATION";"Gestion de sources et bibliographie";"non détecté";"—";"commit 0ba89211cef5";"https://github.com/zotero/zotero";"Plugin officiel Zotero 0.1.2 disponible, validation B";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Éducation";"openstax";"NON_PERTINENT";"Manuels scolaires libres";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/openstax";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_NON_DEPOT";"La ligne pointe vers une organisation GitHub, pas vers un dépôt installable.";"";""
"Éducation";"github-classroom/classroom";"APPLICATION";"Gestion de travaux GitHub";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/github-classroom/classroom";"Plugins documents/PDF/tableurs/présentations/browser déjà installés selon le besoin";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Conseillés pour vos projets";"ollama/ollama";"APPLICATION";"Exécuter des modèles IA en local";"oui";"0.31.1";"commit 8a0016f82630";"https://github.com/ollama/ollama";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-14";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Conseillés pour vos projets";"ggerganov/llama.cpp";"BIBLIOTHEQUE";"Moteur LLM local optimisé";"non détecté";"—";"non vérifiable automatiquement";"https://github.com/ggml-org/llama.cpp";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"non vérifiable";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Conseillés pour vos projets";"open-webui/open-webui";"APPLICATION";"Interface web pour modèles locaux";"non détecté";"—";"commit ecd48e2f7182";"https://github.com/open-webui/open-webui";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-01";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
"Conseillés pour vos projets";"Mintplex-Labs/anything-llm";"APPLICATION";"RAG local avec documents";"non détecté";"—";"commit 4482fd625f74";"https://github.com/Mintplex-Labs/anything-llm";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît";"2026-07-11";"Non vérifiée — hors candidat à l'installation Codex";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"";""
