"catégorie du classeur";"dépôt initial";"type détecté";"niveau de risque";"décision";"justification";"alternative recommandée"
"Conseillés pour vos projets";"syncthing/syncthing";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"nextcloud/server";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"go-gitea/gitea";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"forgejo/forgejo";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"pyodide/pyodide";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"brython-dev/brython";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"pyscript/pyscript";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"streamlit/streamlit";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"gradio-app/gradio";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"zauberzeug/nicegui";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"flet-dev/flet";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Conseillés pour vos projets";"tauri-apps/tauri";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"

